Omega          Centrality:0-100
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
1.05           0              0              1.197          8.08723        1.31666        4              9.19617        
1.4            0              3.70616        3.19058        10.9193        2.68448        4              12.8978        
1.8            0              3.67995        2.9972         10.6237        0.373763       4              12.3097        
2.1            3.25455        5.20857        4.80132        13.6805        2.5144         4              16.4393        
2.3            5.7735         4.28622        6.87455        13.5167        0              4              17.253         
2.5            6.05318        5.11754        6.91686        11.1448        2.44271        4              16.0264        
2.7            5.62419        5.73727        0              8.95119        1.1566         4              12.7283        
3              2.1729         5.70372        6.90144        8.94284        0.651401       4              13.4641        
3.45           0              3.23145        3.29053        7.29128        1.37613        4              9.60866        
3.95           0              4.52515        2.34192        5.74328        0              4              8.65719        
4.6            0              0              3.73276        5.85522        0              4              8.01356        
